address,emergency_end_stakes
0x0a6656a7B97374bBE064123BC8621Cc80DD52267,1
0xFD826a34E7477fB76eF849B968D4Cd5086997861,1
0xf8C817780c466F15b62F8C078777Fa5A4Abd0a8c,6
0x4ec9d16360ed699F8a5c0Dba7503d82cc8b8995C,2
0xCd888A87D80E1fc45149F865a5A5B1685DA2785a,5
0x3250eA0b28f7E906cf1e78Ada7855fCe254E43b5,2
0x2a10715fFe85A13c3c773b1207EC3558733F9d82,1
0x37D9cf719D347548b50D77A43c04bA83c62360F2,3
0xfF1EbDf738b9BD28c02Cd9914F4dD7834DCB41dd,1
0x2e1b7ee825c63DFEdfC09818Dd0EdF68651F6A0C,1
0x457f0e50787AaE612BA339624d956a1EC87F34dF,7
0x4F5de1Bffc8837974e568e3b161e546882713B98,1
0x79D54b639b0F805978D45AA6A40eC3A8D5E43A85,1
0xeb0f32CC75eC617b646F8B203936bdf7896bad79,92
0x2BbF2F41e7524F7c797a0d298514BB795142D043,1
0x98938E1Cfd9CF5E8772ADE3945b1Da7c8AE0407E,5
0x94E39AE53B7AcA24FF1D616dB23C74ae5b8daf0c,1
0x9e72468195c0C3f2F40e9219399B6cA69fBaa455,84
0x18F441C98A7e4851C6101DD3Efa38DdFF9ac9Ce3,1
0xcF9478ab6c111b7781D0E66F39021F36d8b8A80a,1
0x91166F61C3D21cD53014cD45559fA0c3a5426a6B,13
0xfB0906bb62D38DcB45fea3a7db92aED7079E6c96,1
0xD3a2F1c5b78BD50732b879A00Da981B4C4aD2Cd7,5
0xcec8eeA8771E5E018CC1c4C50E64350CbF108ac5,4
0xde33EE6e04de42aA217a7e7D11cE446815b19a8f,52
0x0A94A9B2A9ae04C29225dF9f8940c3a142DfbAd5,5
0x3E8B86DFB00067dBF64Bd2D7F25F5f4820dB2bCE,1
0x563dF8E59af24f3D9e6cea7C2103933c0ce18206,1
0x00705fC2Eb809692886851b48E8a94f13C76d985,1
0x40E4aB3926528Fa84227C1A07C44BE70c0A59BE0,3
0x31251749a07f2b629CF674E5c43eAA4E38bD5C65,1
0x4049b57e0745db82a4220d0dc38A87638B513406,1
0x59c5027A17a7495f685fA19b9aC195EA8979CCE8,1
0x5330E1a5722069FF0201aCE2140d6785070af670,1
0x62506DC6bA7f432892F1EF02EEdF068F4Eadb51D,2
0xeE2895150bbCA90FA175302b6aE0eee487D84353,1
0xe99054dFAb239B828b4c9B375C54BDECF7A9ab47,16
0x7ca4f08873c2EB61F6744D6E8FA032470C7c85E1,2
0xaF53E5EAd4771Ada590B370B4a9f431277695c26,1
0xb584E6e60545563FBEBa1ddF4195B6Ce16B99122,6
0x169F9Dbbfa69cBF8E4ea8ddA4E924F353A5f1b6d,1
0x7a492093B0d047D6aD151010b1bC8A6F4AfdF200,1
0xd6401E498fb99f50ebD3464360AEA0936FB1Da46,1
0xA532Fe2696C0006395759FF427cC07A7aA61F46B,1
0x709D10F20D88a4b4dcc77CaE72db6F6aB64E5214,1
0x519bc13D6e365406B09aE4602515e0fC7bDf7EC2,1
0xC620a04194442a62601D5E129a028FC79dc29477,2
0xD28D528002b47F6279A1cb8c1ac9cb24180a7d9F,1
0x1f5CCe27a27f4729e32615F3CF6a76C3cfD40389,1
0xe5B54577971D230198aA38ca8536519106B4793A,1
0x1eAa57d1b356c6E15f98AC966b772a84994584Ec,1
0xb02FB97ed2D6eDABacfFe1BD2bf7bEa6Ca2B2174,1
0xa389f68F371b2a94547e92418C5a43FFAc2Cc065,2
0x97095Deb4778A7c0C2fdCEd84e897E574B47229B,1
0x3a5aFFad839c383CDaCBe0Bb3a02D40527d8e08A,2
0x2478B532E56FBE8B4d246C5539939143Efb4b2ba,4
0xa3A1b6243b4Eaad26D6b147f06C76eCe48060ccb,1
0xe17E284851Ef3fF416ACb93FA3e0559e336C4ce1,2
0x547120a6754cD20A6fe7b61cD788EC17CF10BD35,1
0x9186d644648c48eC61b5e9f76D3A11A8ec5bdbe4,1
0x761aB143653a6eCd54a44514a71FeA5B3DFEA8Ea,3
0x59950f81e2f7d992f095805153506a95dD84D248,1
0x527B332F821b4FF6f27e20D05E325C894EbedBB0,1
0x03aa9FCD48Feef92FDCA0Dd1bEdDD93E8c7447C8,2
0x0b5F79e599C49e2aA51D50Ab2d8A79952AB4799A,1
0x50aeb0d16615d312AbC7dEBf212AA7ae93B08E7D,4
0xE7cE2085dBe1DE4B66916574CE700c502daF510B,1
0x953F30870C9D5b4b8E54e0222C2E0b62c8c263cF,2
0x0C5f55C214423a7631f1D0baEEaa0bEbdA06D002,1
0x7F28517b55f06C7Dc7A9DB4025d674c77814c1E9,5
0xd540Ee613056273c14339c69E80e81c78C6C4099,1
0xD39c62Bb857Cb695224c29B5E8a1a04de9754350,1
0xF8367263286EE740cF9014de5aFfac42beC094b8,1
0xa30112B53e506567e9E55dF2DA5949BA4873c8f3,1
0xa392BC18F2D8FfBc3727fDc6B6b7211846c1Ab36,4
0x38547b81D93B1a4DDd1BC7893f90a79A0906ED3B,2
0x60e0dB134C9fCEf413dB1639Ee4279992E2FA153,1
0x6825Fd7d8EB0013ef999b711e3ACA01e467dd2dB,1
0x622961e7F76b5E573df44AFdeB712749BbeE398D,1
0x2b35BF8E4c315b0A010DA20C2d631a426AFD8E32,1
0x3F8Af8325288148146A9f8A107f0F6f63513a38A,1
0x8E2Efa9eD16f07d9B153D295d35025FD677BaE99,69
0x09706A72Ae86b99eFB527F4C53d4de5EAB003bc8,1
0x4B5f9888994f21cCcffFBA10b87B331601E4eA1D,1
0xFc109EBc3dD3328bCc5D305C275EC6019Ff7449b,1
0xD2c0d3C4669E2155EA38a141FB97F2c4dE5FC859,2
0x1633fe43A7Eae74c7C1e98D077d50E85cd932EF5,2
0xA01Edc6E48724459694D40ac0970e0f91fC0f426,1
0xaF3E3CF3BFD2A217A46626bd362fd7f9Fc21c1fe,3
0x7ae50022C5D437602468517dB835d2973b303940,1
0x4989f63310f602228EF917f39856CbB0D5340F26,1
0x18593D672659626631449F1679bE25E2CD33d924,3
0x9691D9Ae28F200b6c123E122195FD22736335E6e,2
0xC25f87db08B5645D78D0D7E87d9DC28BEf4C94b2,1
0x044b38660e26DD02267BfA8b986413AD7bF0fEBC,1
0xdD7b04270EEcbA5985c6416c473644b982c33Cd8,4
0x53A09b6B7d4E568aDBe694678e2A990fFA5fD5A8,1
0xC4868EbC1E47c5CC31094C45eCe934D307e3D5c3,6
0x5B9BE4231A58A61a8af54290EcB66Ac32471ffE5,8
0xcF8517505380c5cF66Ddc0f39Ac8A37B93067Efa,4
0x053F98e70820a17f4a5E7640BF17E7aA8F97a0cC,3
0x730b8D2F30fF21b0824cbB842a5cbD5609D462E0,1
0xdC8Ab4b5281E74A198C61C30904A5A75363dE06d,6
0x9Ca50Ab4B8b26B3505073A169d5DbDfDF10baBBD,1
